market,time,open,high,trade_price,last,change,percent,trade_volume,acc_trade_price,acc24vol,timestamp
KRW-NEAR,033746,9958.0,12190.0,11810.0,9958.0,RISE,0.1859811207,0.84674005,336510200021.6687,35692123.28474707,1710700666194
KRW-SHIB,033749,0.03787,0.04367,0.04307,0.03787,RISE,0.1373118564,4999767.81982818,790744131433.211,24523414174479.816,1710700669887
KRW-THETA,033730,4066.0,4631.0,4557.0,4066.0,RISE,0.1207575012,2e-08,33857016142.187187,8516438.22189211,1710700650889
KRW-GRT,033748,544.9,619.5,606.9,545.1,RISE,0.1133736929,164.77179106,157891556936.98584,293294825.0940619,1710700668079
KRW-GLM,033701,720.4,804.2,778.2,720.5,RISE,0.0800832755,989.46286285,78443273604.80083,108242504.15210763,1710700650681
KRW-TFUEL,033744,114.5,123.5,123.1,114.5,RISE,0.0751091703,7257.0,24142593756.023254,233400972.10727388,1710700664827
KRW-MASK,033707,6286.0,7065.0,6700.0,6271.0,RISE,0.0684101419,0.32203519,25634233103.533737,4361746.60552945,1710700650958
KRW-CRO,033650,197.2,215.8,208.1,195.9,RISE,0.0622766718,28.83229216,4386457675.969954,27905423.23173112,1710700650595
KRW-DOGE,033750,210.7,230.8,223.3,210.7,RISE,0.0598006645,2311.02540982,260786727243.76346,1577773564.4478452,1710700670046
KRW-SOL,033747,269700.0,287300.0,285200.0,269700.0,RISE,0.0574712644,98.3,590982632566.2189,2775578.98817753,1710700667887
KRW-IQ,033738,19.64,21.99,20.67,19.56,RISE,0.0567484663,134.34099153,85661991079.80783,4452051804.330279,1710700658321
KRW-ANKR,033702,68.37,72.98,71.72,68.37,RISE,0.0489980986,1254.88008924,24939266844.97904,443523047.6860396,1710700650424
KRW-AAVE,033745,175650.0,184950.0,183950.0,175600.0,RISE,0.0475512528,3.1576729,7813394113.633998,55891.33012077,1710700665611
KRW-STX,033721,3847.0,4067.0,4019.0,3847.0,RISE,0.0447101638,45.17735262,73675729265.33853,21096754.45667494,1710700650786
KRW-LSK,033701,2590.0,2780.0,2704.0,2590.0,RISE,0.044015444,91.0,19997920523.41339,8795801.57962652,1710700650154
KRW-HBAR,033635,164.0,173.8,171.2,164.0,RISE,0.043902439,241.54691616,7533132240.991947,57579866.52464328,1710700650473
KRW-UPP,033720,140.9,146.0,146.0,140.7,RISE,0.0376687989,684.93150684,6777389986.231046,62218652.53761857,1710700650347
KRW-APT,033745,19710.0,22760.0,20360.0,19680.0,RISE,0.0345528455,1.46812306,107233656127.5517,5594043.01627874,1710700665048
KRW-FLOW,033749,1881.0,1970.0,1945.0,1881.0,RISE,0.0340244551,18.22467866,48702081779.368324,33397421.90497531,1710700669093
KRW-XEC,033737,0.07629,0.0795,0.07881,0.07629,RISE,0.0330318521,5415780.16370612,27858129399.319508,517092616026.32294,1710700657487
KRW-ID,033748,2409.0,2662.0,2476.0,2407.0,RISE,0.0286663897,1681.02059773,273994708091.52478,129283663.28767724,1710700668624
KRW-MED,033726,21.73,22.35,22.35,21.73,RISE,0.0285319834,250.11185682,10620025347.727346,612169317.5705496,1710700650478
KRW-DOT,033741,14310.0,14850.0,14720.0,14320.0,RISE,0.0279329609,303.65226294,25361514712.051315,2474029.94269415,1710700661674
KRW-VET,033651,59.77,62.21,61.42,59.77,RISE,0.0276058223,162.44314489,12060728302.708237,274591347.9654341,1710700650506
KRW-SC,033744,13.87,14.57,14.26,13.88,RISE,0.0273775216,102963.20998069,76948558977.76332,6308963890.0224905,1710700664807
KRW-T,033732,50.46,52.0,51.79,50.43,RISE,0.0269680746,9555.69209037,20831855473.25451,505785713.0058785,1710700652270
KRW-PUNDIX,033730,894.8,970.0,918.1,894.9,RISE,0.0259246843,3205.77354619,48521725155.73593,56167110.49451862,1710700650772
KRW-BTT,033731,0.002031,0.002084,0.002081,0.002031,RISE,0.0246184146,96107640.5574243,45810420290.05048,29349045399331.98,1710700651161
KRW-STRAX,033748,2006.0,2082.0,2055.0,2006.0,RISE,0.0244267198,700.0,21679837009.43968,13241762.19641759,1710700668970
KRW-CHZ,033716,197.0,203.5,201.7,197.0,RISE,0.023857868,0.27397335,11462278072.394403,74153015.69476072,1710700650516
KRW-IOST,033647,16.69,17.24,17.08,16.69,RISE,0.0233672858,5849.59016393,5121554219.080033,387328388.38191247,1710700650298
KRW-BTC,033749,96769000.0,99557000.0,99000000.0,96767000.0,RISE,0.0230760487,5.151e-05,889246833170.49,11899.99032765,1710700669043
KRW-AVAX,033728,79090.0,82200.0,80920.0,79150.0,RISE,0.0223626027,2.47402276,102420912091.25731,1631076.38396816,1710700650867
KRW-WAVES,033744,5525.0,5970.0,5638.0,5525.0,RISE,0.0204524887,20.8169453,123337820147.67525,24100975.74564964,1710700664788
KRW-XTZ,033705,1908.0,1950.0,1946.0,1907.0,RISE,0.0204509701,5.14904058,5581002161.865304,3566946.08152205,1710700650568
KRW-1INCH,033749,832.0,857.5,849.0,832.0,RISE,0.0204326923,592.62771127,8672764899.139809,13889398.42738924,1710700669270
KRW-BCH,033700,574500.0,592000.0,586100.0,574500.0,RISE,0.0201914708,3.82477392,38805255588.88866,101863.43990567,1710700650285
KRW-STEEM,033550,445.1,457.8,453.4,445.1,RISE,0.0186474949,90.7245258,8288924513.81496,24960812.08789177,1710700650159
KRW-ONT,033658,487.1,498.8,494.6,485.7,RISE,0.0183240684,6438.712,5392307507.25277,14969669.99158974,1710700650257
KRW-AXS,033742,15340.0,16040.0,15580.0,15310.0,RISE,0.0176355323,6.41848523,44809319654.40984,3534379.17059325,1710700662979
KRW-PYTH,033750,1480.0,1564.0,1506.0,1480.0,RISE,0.0175675676,13.38870432,358386314833.15106,316710230.72953326,1710700670134
KRW-POLYX,033532,328.7,335.9,333.7,328.1,RISE,0.0170679671,14.98351813,12602913615.682568,52616488.2272725,1710700650267
